ticket_id,ticket_text,category,priority
1,Payment failed but money was deducted from my bank account.,Billing,Medium
2,Website is loading very slowly.,Technical,High
3,Unable to update my billing details.,Billing,High
4,My order has not been delivered yet.,Delivery,High
5,I was charged twice for my subscription this month.,Billing,High
6,Unable to update my billing details.,Billing,High
7,Received a damaged product.,Delivery,Medium
8,I forgot my password and cannot reset it.,Account,Medium
9,Tracking status has not been updated.,Delivery,Medium
10,Website is loading very slowly.,Technical,Medium
11,Payment failed but money was deducted from my bank account.,Billing,Medium
12,Invoice amount does not match the agreed pricing.,Billing,Medium
13,I forgot my password and cannot reset it.,Account,Low
14,Refund has not been processed yet.,Billing,High
15,Need to update my profile information.,Account,Low
16,The app crashes whenever I try to log in.,Technical,High
17,Error 500 showing while submitting the form.,Technical,High
18,The app crashes whenever I try to log in.,Technical,Medium
19,Email verification link is not working.,Account,Low
20,Error 500 showing while submitting the form.,Technical,Medium
21,Error 500 showing while submitting the form.,Technical,High
22,Notifications are not working properly.,Technical,High
23,Unable to upload files to the dashboard.,Technical,Medium
24,Need to update my profile information.,Account,Medium
25,I forgot my password and cannot reset it.,Account,Medium
26,Invoice amount does not match the agreed pricing.,Billing,Medium
27,I forgot my password and cannot reset it.,Account,Medium
28,My account has been locked without any reason.,Account,Low
29,Delivery address needs to be changed.,Delivery,High
30,My account has been locked without any reason.,Account,Medium
31,Need to update my profile information.,Account,Low
32,Tracking status has not been updated.,Delivery,High
33,Notifications are not working properly.,Technical,Medium
34,Payment failed but money was deducted from my bank account.,Billing,High
35,Website is loading very slowly.,Technical,Medium
36,Refund has not been processed yet.,Billing,Medium
37,Order shows delivered but I have not received it.,Delivery,Medium
38,Payment failed but money was deducted from my bank account.,Billing,Medium
39,I forgot my password and cannot reset it.,Account,Low
40,Received a damaged product.,Delivery,Medium
41,Invoice amount does not match the agreed pricing.,Billing,High
42,Invoice amount does not match the agreed pricing.,Billing,High
43,Error 500 showing while submitting the form.,Technical,High
44,Unable to update my billing details.,Billing,Medium
45,My order has not been delivered yet.,Delivery,High
46,Not receiving OTP on my registered number.,Account,Medium
47,I was charged twice for my subscription this month.,Billing,High
48,Refund has not been processed yet.,Billing,High
49,Website is loading very slowly.,Technical,Medium
50,Error 500 showing while submitting the form.,Technical,Medium
51,Notifications are not working properly.,Technical,High
52,Email verification link is not working.,Account,Low
53,Order shows delivered but I have not received it.,Delivery,Medium
54,I was charged twice for my subscription this month.,Billing,High
55,Invoice amount does not match the agreed pricing.,Billing,High
56,Notifications are not working properly.,Technical,High
57,Payment failed but money was deducted from my bank account.,Billing,High
58,The app crashes whenever I try to log in.,Technical,High
59,I forgot my password and cannot reset it.,Account,Medium
60,Email verification link is not working.,Account,Medium
61,Notifications are not working properly.,Technical,Medium
62,Unable to upload files to the dashboard.,Technical,Medium
63,The app crashes whenever I try to log in.,Technical,High
64,Tracking status has not been updated.,Delivery,Medium
65,Delivery address needs to be changed.,Delivery,High
66,Payment failed but money was deducted from my bank account.,Billing,Medium
67,I forgot my password and cannot reset it.,Account,Medium
68,Website is loading very slowly.,Technical,Medium
69,Unable to upload files to the dashboard.,Technical,High
70,Email verification link is not working.,Account,Medium
71,Refund has not been processed yet.,Billing,High
72,Unable to update my billing details.,Billing,High
73,I was charged twice for my subscription this month.,Billing,High
74,Delivery address needs to be changed.,Delivery,Medium
75,Unable to upload files to the dashboard.,Technical,High
76,Unable to upload files to the dashboard.,Technical,High
77,Tracking status has not been updated.,Delivery,Medium
78,Email verification link is not working.,Account,Low
79,Website is loading very slowly.,Technical,Medium
80,The app crashes whenever I try to log in.,Technical,High
81,I forgot my password and cannot reset it.,Account,Medium
82,Order shows delivered but I have not received it.,Delivery,High
83,Unable to update my billing details.,Billing,High
84,The app crashes whenever I try to log in.,Technical,High
85,Unable to upload files to the dashboard.,Technical,High
86,Notifications are not working properly.,Technical,High
87,Refund has not been processed yet.,Billing,Medium
88,My account has been locked without any reason.,Account,Low
89,Error 500 showing while submitting the form.,Technical,Medium
90,Error 500 showing while submitting the form.,Technical,Medium
91,I forgot my password and cannot reset it.,Account,Medium
92,Order shows delivered but I have not received it.,Delivery,High
93,Unable to update my billing details.,Billing,High
94,My account has been locked without any reason.,Account,Low
95,I was charged twice for my subscription this month.,Billing,Medium
96,My account has been locked without any reason.,Account,Low
97,Need to update my profile information.,Account,Medium
98,I forgot my password and cannot reset it.,Account,Medium
99,I forgot my password and cannot reset it.,Account,Medium
100,Error 500 showing while submitting the form.,Technical,Medium
101,Error 500 showing while submitting the form.,Technical,High
102,Need to update my profile information.,Account,Low
103,I forgot my password and cannot reset it.,Account,Medium
104,Tracking status has not been updated.,Delivery,High
105,Invoice amount does not match the agreed pricing.,Billing,High
106,My account has been locked without any reason.,Account,Low
107,Order shows delivered but I have not received it.,Delivery,High
108,Payment failed but money was deducted from my bank account.,Billing,High
109,Invoice amount does not match the agreed pricing.,Billing,High
110,Received a damaged product.,Delivery,High
111,Not receiving OTP on my registered number.,Account,Medium
112,My account has been locked without any reason.,Account,Medium
113,Invoice amount does not match the agreed pricing.,Billing,Medium
114,Website is loading very slowly.,Technical,High
115,Unable to upload files to the dashboard.,Technical,High
116,Error 500 showing while submitting the form.,Technical,Medium
117,Error 500 showing while submitting the form.,Technical,High
118,Refund has not been processed yet.,Billing,High
119,Received a damaged product.,Delivery,High
120,Tracking status has not been updated.,Delivery,Medium
121,Website is loading very slowly.,Technical,High
122,Unable to upload files to the dashboard.,Technical,Medium
123,I forgot my password and cannot reset it.,Account,Low
124,Need to update my profile information.,Account,Low
125,I forgot my password and cannot reset it.,Account,Medium
126,My account has been locked without any reason.,Account,Low
127,Payment failed but money was deducted from my bank account.,Billing,Medium
128,Not receiving OTP on my registered number.,Account,Low
129,Refund has not been processed yet.,Billing,High
130,I forgot my password and cannot reset it.,Account,Low
131,Unable to update my billing details.,Billing,High
132,Email verification link is not working.,Account,Medium
133,Need to update my profile information.,Account,Low
134,Invoice amount does not match the agreed pricing.,Billing,Medium
135,Tracking status has not been updated.,Delivery,Medium
136,Need to update my profile information.,Account,Medium
137,Unable to upload files to the dashboard.,Technical,Medium
138,Notifications are not working properly.,Technical,Medium
139,Order shows delivered but I have not received it.,Delivery,High
140,Not receiving OTP on my registered number.,Account,Medium
141,Order shows delivered but I have not received it.,Delivery,Medium
142,Delivery address needs to be changed.,Delivery,Medium
143,Notifications are not working properly.,Technical,Medium
144,The app crashes whenever I try to log in.,Technical,Medium
145,I forgot my password and cannot reset it.,Account,Medium
146,My account has been locked without any reason.,Account,Medium
147,The app crashes whenever I try to log in.,Technical,High
148,Unable to upload files to the dashboard.,Technical,High
149,Delivery address needs to be changed.,Delivery,High
150,Delivery address needs to be changed.,Delivery,Medium
151,Website is loading very slowly.,Technical,High
152,Refund has not been processed yet.,Billing,High
153,Notifications are not working properly.,Technical,Medium
154,Unable to update my billing details.,Billing,High
155,Refund has not been processed yet.,Billing,High
156,Order shows delivered but I have not received it.,Delivery,Medium
157,Order shows delivered but I have not received it.,Delivery,Medium
158,Received a damaged product.,Delivery,Medium
159,Tracking status has not been updated.,Delivery,High
160,Need to update my profile information.,Account,Low
161,Error 500 showing while submitting the form.,Technical,Medium
162,Invoice amount does not match the agreed pricing.,Billing,High
163,Not receiving OTP on my registered number.,Account,Low
164,I was charged twice for my subscription this month.,Billing,High
165,Unable to upload files to the dashboard.,Technical,High
166,The app crashes whenever I try to log in.,Technical,Medium
167,Tracking status has not been updated.,Delivery,Medium
168,My order has not been delivered yet.,Delivery,High
169,Delivery address needs to be changed.,Delivery,High
170,Delivery address needs to be changed.,Delivery,High
